recordType,id,x,y,isGateway,energy,from,to,edgeType,nextHop,cluster,clusterRadius
node,0,213.766,379.244,1,10,,,,61,-1,41.4226
node,1,120.674,384.85,1,10,,,,80,-1,41.4617
node,2,356.409,395.887,1,10,,,,5,-1,45.5523
node,3,161.244,228.083,1,10,,,,29,-1,66.7664
node,4,350.682,446.655,1,10,,,,106,-1,60.6364
node,5,376.052,360.848,1,10,,,,38,-1,42.5078
node,6,139.224,32.9004,1,10,,,,13,-1,58.1996
node,7,182.396,196.702,1,10,,,,11,-1,42.4497
node,8,44.6668,458.455,1,10,,,,105,-1,42.5094
node,9,57.1343,141.202,1,10,,,,13,-1,47.1498
node,10,195.151,246.075,1,10,,,,29,-1,44.9699
node,11,206.06,293.818,1,10,,,,82,-1,54.8787
node,12,240.452,465.816,1,10,,,,93,-1,49.8457
node,13,163.259,108.686,1,10,,,,53,-1,41.9819
node,14,315.151,288.046,1,10,,,,71,-1,65.9926
node,15,138.451,193.552,1,10,,,,116,-1,41.3923
node,16,310.038,339.951,1,10,,,,106,-1,78.0119
node,17,147.182,332.157,1,10,,,,11,-1,43.6588
node,18,147.382,98.5482,1,10,,,,7,-1,49.1678
node,19,400.075,441.129,1,10,,,,58,-1,44.237
node,20,43.3696,336.851,1,10,,,,1,-1,54.4038
node,21,134.215,496.489,1,10,,,,115,-1,45.2495
node,22,292.661,88.1945,1,10,,,,108,-1,48.5037
node,23,3.50898,499.786,1,10,,,,8,-1,65.279
node,24,176.618,402.11,1,10,,,,0,-1,71.2431
node,25,37.5627,346.678,1,10,,,,66,-1,46.4161
node,26,289.486,207.099,1,10,,,,89,-1,41.858
node,27,11.1652,230.138,1,10,,,,97,-1,76.2486
node,28,49.3476,386.794,1,10,,,,1,-1,46.9824
node,29,214.927,237.49,1,10,,,,116,-1,43.2012
node,30,475.743,478.865,1,10,,,,46,-1,50.0842
node,31,432.576,341.836,1,10,,,,39,-1,42.9903
node,32,419.77,87.4717,1,10,,,,40,-1,43.1436
node,33,1.0435,310.928,1,10,,,,65,-1,60.2018
node,34,269.36,372.868,1,10,,,,43,-1,42.9685
node,35,304.616,137.859,1,10,,,,112,-1,45.3488
node,36,78.7016,419.891,1,10,,,,1,-1,66.6973
