recordType,id,x,y,isGateway,energy,from,to,edgeType,nextHop,cluster,clusterRadius
node,0,175.357,49.7416,1,10,,,,87,-1,80
node,1,185.278,84.8322,1,10,,,,9,-1,80
node,2,449.742,293.818,1,10,,,,100,-1,80
node,3,167.299,272.067,1,10,,,,19,-1,80
node,4,209.067,8.90362,1,10,,,,111,-1,80
node,5,58.0898,311.381,1,10,,,,70,-1,80
node,6,90.922,328.517,1,10,,,,115,-1,80
node,7,37.9738,108.494,1,10,,,,88,-1,80
node,8,421.807,436.888,1,10,,,,38,-1,80
node,9,265.55,149.832,1,10,,,,72,-1,80
node,10,98.9596,79.2505,1,10,,,,98,-1,80
node,11,141.453,476.929,1,10,,,,26,-1,80
node,12,285.952,143.371,1,10,,,,62,-1,80
node,13,181.789,483.078,1,10,,,,34,-1,80
node,14,489.128,64.9458,1,10,,,,24,-1,80
node,15,71.1995,185.564,1,10,,,,79,-1,80
node,16,337.465,147.107,1,10,,,,68,-1,80
node,17,169.135,344.004,1,10,,,,115,-1,80
node,18,337.729,442.293,1,10,,,,102,-1,80
node,19,249.332,190.556,1,10,,,,75,-1,80
node,20,327.664,460.781,1,10,,,,107,-1,80
node,21,36.2456,336.195,1,10,,,,6,-1,80
node,22,185.494,293.458,1,10,,,,46,-1,80
node,23,418.457,199.975,1,10,,,,-1,-1,80
node,24,474.74,137.739,1,10,,,,23,-1,80
node,25,208.746,210.158,1,10,,,,51,-1,80
node,26,117.447,411.362,1,10,,,,115,-1,80
node,27,83.6074,106.021,1,10,,,,88,-1,80
node,28,195.409,77.1728,1,10,,,,12,-1,80
node,29,425.913,459.92,1,10,,,,80,-1,80
node,30,435.812,101.317,1,10,,,,47,-1,80
node,31,156.563,233.777,1,10,,,,19,-1,80
node,32,343.411,465.343,1,10,,,,8,-1,80
node,33,489.277,33.5259,1,10,,,,112,-1,80
node,34,217.282,435.664,1,10,,,,20,-1,80
node,35,55.902,237.5,1,10,,,,55,-1,80
node,36,46.661,345.253,1,10,,,,5,-1,80
node,37,310.162,485.414,1,10,,,,54,-1,80
node,38,348.511,379.604,1,10,,,,71,-1,80
node,39,233.838,337.404,1,10,,,,62,-1,80
node,40,384.102,251.658,1,10,,,,2,-1,80
node,41,399.417,193.867,1,10,,,,100,-1,80
node,42,238.759,45.725,1,10,,,,9,-1,80
node,43,218.484,411.262,1,10,,,,39,-1,80
node,44,394.998,9.16702,1,10,,,,65,-1,80
node,45,405.379,67.1092,1,10,,,,75,-1,80
node,46,192.656,281.577,1,10,,,,108,-1,80
node,47,440.564,204.045,1,10,,,,-1,-1,80
node,48,45.5651,300.527,1,10,,,,5,-1,80
node,49,81.6445,357.713,1,10,,,,63,-1,80
node,50,365.239,414.008,1,10,,,,71,-1,80
node,51,298.849,151.971,1,10,,,,68,-1,80
node,52,38.2927,73.5527,1,10,,,,60,-1,80
node,53,54.7818,495.918,1,10,,,,11,-1,80
node,54,276.79,382.057,1,10,,,,18,-1,80
node,55,68.1081,290.871,1,10,,,,31,-1,80
node,56,38.446,310.612,1,10,,,,36,-1,80
node,57,481.468,414.247,1,10,,,,116,-1,80
node,58,198.995,150.183,1,10,,,,51,-1,80
node,59,433.927,58.1904,1,10,,,,14,-1,80
node,60,33.615,192.848,1,10,,,,88,-1,80
node,61,405.131,470.422,1,10,,,,81,-1,80
node,62,290.459,234.165,1,10,,,,103,-1,80
node,63,127.523,275.171,1,10,,,,115,-1,80
node,64,394.175,168.48,1,10,,,,24,-1,80
node,65,349.494,91.0106,1,10,,,,101,-1,80
node,66,372.089,286.882,1,10,,,,41,-1,80
node,67,110.61,31.4486,1,10,,,,69,-1,80
node,68,363.989,211.851,1,10,,,,41,-1,80
node,69,203.862,84.2851,1,10,,,,58,-1,80
node,70,115.706,348.467,1,10,,,,39,-1,80
node,71,393.804,318.859,1,10,,,,99,-1,80
node,72,350.252,65.0762,1,10,,,,112,-1,80
node,73,35.349,475.71,1,10,,,,85,-1,80
node,74,175.333,180.64,1,10,,,,117,-1,80
node,75,362.901,178.643,1,10,,,,40,-1,80
node,76,30.7528,348.697,1,10,,,,6,-1,80
node,77,16.0271,342.597,1,10,,,,94,-1,80
node,78,374.815,320.235,1,10,,,,71,-1,80
node,79,75.5818,226.753,1,10,,,,31,-1,80
node,80,468.775,436.649,1,10,,,,57,-1,80
node,81,434.887,411.113,1,10,,,,90,-1,80
node,82,479.571,323.19,1,10,,,,2,-1,80
node,83,66.5691,20.4015,1,10,,,,27,-1,80
node,84,272.453,498.834,1,10,,,,18,-1,80
node,85,24.4289,362.421,1,10,,,,48,-1,80
node,86,3.30783,169.644,1,10,,,,35,-1,80
node,87,177.972,88.7085,1,10,,,,42,-1,80
node,88,71.523,151.034,1,10,,,,91,-1,80
node,89,247.251,252,1,10,,,,12,-1,80
node,90,499.746,333.665,1,10,,,,-1,-1,80
node,91,144.041,159.477,1,10,,,,119,-1,80
node,92,59.3742,16.859,1,10,,,,7,-1,80
node,93,128.091,361.009,1,10,,,,113,-1,80
node,94,24.2142,246.939,1,10,,,,114,-1,80
node,95,403.045,358.471,1,10,,,,99,-1,80
node,96,32.5125,12.9164,1,10,,,,92,-1,80
node,97,297.084,189.022,1,10,,,,101,-1,80
node,98,148.513,157.142,1,10,,,,117,-1,80
node,99,456.921,351.367,1,10,,,,-1,-1,80
node,100,476.841,280.16,1,10,,,,-1,-1,80
node,101,328.566,206.818,1,10,,,,66,-1,80
node,102,349.023,432.546,1,10,,,,95,-1,80
node,103,351.935,326.475,1,10,,,,68,-1,80
node,104,326.604,16.7678,1,10,,,,72,-1,80
node,105,156.072,192.708,1,10,,,,119,-1,80
node,106,495.189,38.4582,1,10,,,,59,-1,80
node,107,346.576,342.597,1,10,,,,103,-1,80
node,108,257.759,296.572,1,10,,,,78,-1,80
node,109,484.897,373.364,1,10,,,,99,-1,80
node,110,180.259,80.7342,1,10,,,,105,-1,80
node,111,244.019,57.9543,1,10,,,,104,-1,80
node,112,425.395,50.911,1,10,,,,45,-1,80
node,113,187.753,334.792,1,10,,,,117,-1,80
node,114,78.5965,222.363,1,10,,,,63,-1,80
node,115,176.119,343.582,1,10,,,,108,-1,80
node,116,497.307,400.985,1,10,,,,90,-1,80
node,117,195.661,221.963,1,10,,,,62,-1,80
node,118,249.265,489.128,1,10,,,,102,-1,80
node,119,167.519,244.015,1,10,,,,46,-1,80
node,120,259.395,343.065,0,2,,,,-2,54,-1
node,121,381.568,227.649,0,2,,,,-2,47,-1
node,122,404.909,20.974,0,2,,,,-2,112,-1
node,123,382.423,467.855,0,2,,,,-2,32,-1
node,124,204.72,267.395,0,2,,,,-2,31,-1
node,125,416.452,230.638,0,2,,,,-2,41,-1
node,126,246.589,96.628,0,2,,,,-2,42,-1
node,127,163.265,392.571,0,2,,,,-2,43,-1
node,128,360.886,342.011,0,2,,,,-2,66,-1
node,129,464.499,314.248,0,2,,,,-2,2,-1
node,130,275.151,193.521,0,2,,,,-2,101,-1
node,131,338.885,69.591,0,2,,,,-2,72,-1
node,132,469.295,101.279,0,2,,,,-2,24,-1
node,133,315.117,436.908,0,2,,,,-2,18,-1
node,134,475.795,381.805,0,2,,,,-2,109,-1
node,135,154.207,166.676,0,2,,,,-2,119,-1
node,136,252.862,258.016,0,2,,,,-2,108,-1
node,137,176.329,270.518,0,2,,,,-2,3,-1
node,138,327.415,218.883,0,2,,,,-2,101,-1
node,139,28.1424,279.91,0,2,,,,-2,94,-1
node,140,217.872,238.05,0,2,,,,-2,31,-1
node,141,401.674,101.068,0,2,,,,-2,16,-1
node,142,418.599,39.1683,0,2,,,,-2,106,-1
node,143,197.1,77.1386,0,2,,,,-2,87,-1
node,144,192.558,340.572,0,2,,,,-2,39,-1
node,145,374.718,484.346,0,2,,,,-2,32,-1
node,146,232.773,272.299,0,2,,,,-2,89,-1
node,147,96.1694,499.75,0,2,,,,-2,73,-1
node,148,268.09,174.968,0,2,,,,-2,58,-1
node,149,37.8914,20.5874,0,2,,,,-2,52,-1
