iteration,best_fitness
0,2223.8
1,2223.8
2,2291.15
3,2291.15
4,2339.82
5,2339.82
6,2353.41
7,2353.41
8,2437.29
9,2437.29
10,2437.29
11,2464.99
12,2464.99
13,2464.99
14,2464.99
15,2464.99
16,2464.99
17,2464.99
18,2465.36
19,2468.57
20,2468.57
21,2468.57
22,2468.57
23,2468.57
24,2468.57
25,2468.57
26,2468.57
27,2468.57
28,2468.57
29,2468.57
30,2468.57
31,2468.57
32,2468.57
33,2468.57
34,2468.57
35,2468.57
36,2468.57
37,2468.57
38,2468.57
39,2468.57
40,2468.57
41,2468.57
42,2468.57
43,2468.57
44,2468.57
45,2468.57
46,2468.57
47,2468.57
48,2468.57
49,2468.57
50,2468.57
51,2468.57
52,2468.57
53,2468.57
54,2468.57
55,2468.57
56,2468.57
57,2468.57
58,2468.57
59,2468.57
60,2468.57
61,2468.57
62,2468.57
63,2468.57
64,2468.57
65,2468.57
66,2468.57
67,2468.57
68,2468.57
69,2468.57
70,2468.57
71,2468.57
72,2468.57
73,2468.57
74,2468.57
75,2468.57
76,2468.57
77,2468.57
78,2468.57
79,2468.57
80,2468.57
81,2468.57
82,2468.57
83,2468.57
84,2468.57
85,2468.57
86,2468.57
87,2468.57
88,2468.57
89,2468.57
90,2468.57
91,2468.57
92,2468.57
93,2468.57
94,2468.57
95,2468.57
96,2468.57
97,2468.57
98,2468.57
99,2468.57
