iteration,best_fitness
0,3257.83
1,3602.69
2,3669.89
3,3669.89
4,3669.89
5,3757.47
6,3842.46
7,3842.46
8,3901.02
9,3901.02
10,3956.65
11,4389.21
12,4578.92
13,4578.92
14,4578.92
15,4578.92
16,4578.92
17,4578.92
18,4578.92
19,4578.92
20,4578.92
21,4578.92
22,4578.92
23,4578.92
24,4578.92
25,4578.92
26,4578.92
27,4578.92
28,4578.92
29,4578.92
30,4578.92
31,4578.92
32,4578.92
33,4578.92
34,4578.92
35,4578.92
36,4578.92
37,4578.92
38,4578.92
39,4578.92
40,4578.92
41,4578.92
42,4578.92
43,4578.92
44,4578.92
45,4578.92
46,4578.92
47,4578.92
48,4578.92
49,4578.92
50,4578.92
51,4578.92
52,4578.92
53,4578.92
54,4578.92
55,4578.92
56,4578.92
57,4578.92
58,4578.92
59,4578.92
60,4578.92
61,4578.92
62,4578.92
63,4578.92
64,4578.92
65,4578.92
66,4578.92
67,4578.92
68,4578.92
69,4578.92
70,4578.92
71,4578.92
72,4578.92
73,4578.92
74,4578.92
75,4578.92
76,4578.92
77,4578.92
78,4578.92
79,4578.92
80,4578.92
81,4578.92
82,4578.92
83,4578.92
84,4578.92
85,4578.92
86,4578.92
87,4578.92
88,4578.92
89,4578.92
90,4578.92
91,4578.92
92,4578.92
93,4578.92
94,4578.92
95,4578.92
96,4578.92
97,4578.92
98,4578.92
99,4578.92
