iteration,best_fitness
0,3668.89
1,3822.64
2,4338.84
3,4372.8
4,4372.8
5,4372.8
6,4372.8
7,4372.8
8,4372.8
9,4397.33
10,4397.33
11,4397.33
12,4397.33
13,4397.33
14,4397.33
15,4397.33
16,4407.46
17,4407.46
18,4407.46
19,4407.46
20,4407.46
21,4407.46
22,4407.46
23,4407.46
24,4407.46
25,4407.46
26,4407.46
27,4407.46
28,4407.46
29,4407.46
30,4407.46
31,4407.46
32,4407.46
33,4407.46
34,4407.46
35,4407.46
36,4407.46
37,4407.46
38,4407.46
39,4407.46
40,4407.46
41,4407.46
42,4407.46
43,4407.46
44,4407.46
45,4407.46
46,4407.46
47,4407.46
48,4407.46
49,4407.46
50,4407.46
51,4407.46
52,4407.46
53,4407.46
54,4407.46
55,4407.46
56,4407.46
57,4407.46
58,4407.46
59,4407.46
60,4407.46
61,4407.46
62,4407.46
63,4407.46
64,4407.46
65,4407.46
66,4407.46
67,4407.46
68,4407.46
69,4407.46
70,4407.46
71,4407.46
72,4407.46
73,4407.46
74,4407.46
75,4407.46
76,4407.46
77,4454.77
78,4454.77
79,4454.77
80,4454.77
81,4454.77
82,4454.77
83,4454.77
84,4458.91
85,4458.91
86,4458.91
87,4458.91
88,4458.91
89,4458.91
90,4470.57
91,4470.57
92,4470.57
93,4503.04
94,4503.04
95,4503.04
96,4503.04
97,4503.04
98,4503.04
99,4503.04
