iteration,best_fitness
0,1655.89
1,1718.49
2,1788.61
3,1824.04
4,1863.37
5,1863.37
6,1863.37
7,1863.37
8,1863.37
9,1863.37
10,1863.37
11,1863.37
12,1938.34
13,1938.34
14,1938.34
15,1938.34
16,1938.34
17,1938.34
18,1983.21
19,1983.21
20,1983.21
21,1983.21
22,1983.21
23,1983.21
24,1983.21
25,1983.21
26,1983.21
27,1983.21
28,1983.21
29,1983.21
30,1983.21
31,1983.21
32,1983.21
33,1983.21
34,1983.21
35,1983.21
36,1983.21
37,2024.68
38,2024.68
39,2024.68
40,2024.68
41,2024.68
42,2024.68
43,2024.68
44,2024.68
45,2024.68
46,2028.01
47,2028.01
48,2028.01
49,2028.01
50,2028.01
51,2028.01
52,2028.01
53,2028.01
54,2028.01
55,2119.06
56,2119.06
57,2119.06
58,2119.06
59,2119.06
60,2119.06
61,2119.06
62,2119.06
63,2119.06
64,2119.06
65,2119.06
66,2119.06
67,2119.06
68,2119.06
69,2119.06
70,2119.06
71,2119.06
72,2122.72
73,2122.72
74,2122.72
75,2122.72
76,2122.72
77,2122.72
78,2122.72
79,2122.72
80,2122.72
81,2122.72
82,2122.72
83,2122.72
84,2122.72
85,2122.72
86,2122.72
87,2122.72
88,2122.72
89,2122.72
90,2122.72
91,2122.72
92,2122.72
93,2122.72
94,2122.72
95,2122.72
96,2122.72
97,2122.72
98,2122.72
99,2122.72
