iteration,best_fitness
0,1640.75
1,1640.75
2,1640.75
3,1640.75
4,1640.75
5,1640.75
6,1640.75
7,1640.75
8,1640.75
9,1640.75
10,1640.75
11,1640.75
12,1640.75
13,1640.75
14,1640.75
15,1640.75
16,1646.25
17,1654.98
18,1654.98
19,1654.98
20,1654.98
21,1654.98
22,1654.98
23,1654.98
24,1700.56
25,1700.56
26,1700.56
27,1700.56
28,1700.56
29,1700.56
30,1700.56
31,1700.56
32,1700.56
33,1700.56
34,1700.56
35,1700.56
36,1700.56
37,1700.56
38,1700.56
39,1702.19
40,1702.19
41,1702.19
42,1702.19
43,1702.19
44,1702.19
45,1702.19
46,1702.19
47,1702.19
48,1702.19
49,1702.19
50,1702.19
51,1702.19
52,1702.19
53,1702.19
54,1702.19
55,1702.19
56,1702.19
57,1702.19
58,1702.19
59,1702.19
60,1702.19
61,1702.19
62,1702.19
63,1702.19
64,1702.19
65,1702.19
66,1702.19
67,1702.19
68,1702.19
69,1702.19
70,1702.19
71,1702.19
72,1702.19
73,1702.19
74,1702.19
75,1702.19
76,1702.19
77,1702.19
78,1702.19
79,1702.19
80,1702.19
81,1702.19
82,1702.19
83,1702.19
84,1702.19
85,1702.19
86,1702.19
87,1702.19
88,1702.19
89,1702.19
90,1707.26
91,1707.26
92,1707.26
93,1707.26
94,1707.26
95,1707.26
96,1707.26
97,1707.26
98,1707.26
99,1708.12
