round,alive_sensors,alive_gateways,avg_energy_sensors,avg_energy_gateways,firstCHFailureRound
0,600,60,1.99969,9.9972,-1
1,600,60,1.99938,9.99441,-1
2,600,60,1.99907,9.99161,-1
3,600,60,1.99876,9.98882,-1
4,600,60,1.99844,9.98602,-1
5,600,60,1.99813,9.98322,-1
6,600,60,1.99782,9.98043,-1
7,600,60,1.99751,9.97763,-1
8,600,60,1.9972,9.97484,-1
9,600,60,1.99689,9.97204,-1
10,600,60,1.99658,9.96924,-1
11,600,60,1.99627,9.96645,-1
12,600,60,1.99596,9.96365,-1
13,600,60,1.99565,9.96085,-1
14,600,60,1.99533,9.95806,-1
15,600,60,1.99502,9.95526,-1
16,600,60,1.99471,9.95247,-1
17,600,60,1.9944,9.94967,-1
18,600,60,1.99409,9.94687,-1
19,600,60,1.99378,9.94408,-1
20,600,60,1.99347,9.94128,-1
21,600,60,1.99316,9.93849,-1
22,600,60,1.99285,9.93569,-1
23,600,60,1.99253,9.93289,-1
24,600,60,1.99222,9.9301,-1
25,600,60,1.99191,9.9273,-1
26,600,60,1.9916,9.92451,-1
27,600,60,1.99129,9.92171,-1
28,600,60,1.99098,9.91891,-1
29,600,60,1.99067,9.91612,-1
30,600,60,1.99036,9.91332,-1
31,600,60,1.99005,9.91053,-1
32,600,60,1.98973,9.90773,-1
33,600,60,1.98942,9.90493,-1
34,600,60,1.98911,9.90214,-1
35,600,60,1.9888,9.89934,-1
36,600,60,1.98849,9.89655,-1
37,600,60,1.98818,9.89375,-1
38,600,60,1.98787,9.89095,-1
39,600,60,1.98756,9.88816,-1
40,600,60,1.98725,9.88536,-1
41,600,60,1.98694,9.88256,-1
42,600,60,1.98662,9.87977,-1
43,600,60,1.98631,9.87697,-1
44,600,60,1.986,9.87418,-1
45,600,60,1.98569,9.87138,-1
46,600,60,1.98538,9.86858,-1
47,600,60,1.98507,9.86579,-1
48,600,60,1.98476,9.86299,-1
49,600,60,1.98445,9.8602,-1
50,600,60,1.98414,9.8574,-1
51,600,60,1.98382,9.8546,-1
52,600,60,1.98351,9.85181,-1
53,600,60,1.9832,9.84901,-1
54,600,60,1.98289,9.84622,-1
55,600,60,1.98258,9.84342,-1
56,600,60,1.98227,9.84062,-1
57,600,60,1.98196,9.83783,-1
58,600,60,1.98165,9.83503,-1
59,600,60,1.98134,9.83224,-1
60,600,60,1.98102,9.82944,-1
61,600,60,1.98071,9.82664,-1
62,600,60,1.9804,9.82385,-1
63,600,60,1.98009,9.82105,-1
64,600,60,1.97978,9.81825,-1
65,600,60,1.97947,9.81546,-1
66,600,60,1.97916,9.81266,-1
67,600,60,1.97885,9.80987,-1
68,600,60,1.97854,9.80707,-1
69,600,60,1.97823,9.80427,-1
70,600,60,1.97791,9.80148,-1
71,600,60,1.9776,9.79868,-1
72,600,60,1.97729,9.79589,-1
73,600,60,1.97698,9.79309,-1
74,600,60,1.97667,9.79029,-1
75,600,60,1.97636,9.7875,-1
76,600,60,1.97605,9.7847,-1
77,600,60,1.97574,9.78191,-1
78,600,60,1.97543,9.77911,-1
79,600,60,1.97511,9.77631,-1
80,600,60,1.9748,9.77352,-1
81,600,60,1.97449,9.77072,-1
82,600,60,1.97418,9.76793,-1
83,600,60,1.97387,9.76513,-1
84,600,60,1.97356,9.76233,-1
85,600,60,1.97325,9.75954,-1
86,600,60,1.97294,9.75674,-1
87,600,60,1.97263,9.75395,-1
88,600,60,1.97232,9.75115,-1
89,600,60,1.972,9.74835,-1
90,600,60,1.97169,9.74556,-1
91,600,60,1.97138,9.74276,-1
92,600,60,1.97107,9.73996,-1
93,600,60,1.97076,9.73717,-1
94,600,60,1.97045,9.73437,-1
95,600,60,1.97014,9.73158,-1
96,600,60,1.96983,9.72878,-1
97,600,60,1.96952,9.72598,-1
98,600,60,1.9692,9.72319,-1
99,600,60,1.96889,9.72039,-1
100,600,60,1.96858,9.7176,-1
101,600,60,1.96827,9.7148,-1
102,600,60,1.96796,9.712,-1
103,600,60,1.96765,9.70921,-1
104,600,60,1.96734,9.70641,-1
105,600,60,1.96703,9.70362,-1
106,600,60,1.96672,9.70082,-1
107,600,60,1.9664,9.69802,-1
108,600,60,1.96609,9.69523,-1
109,600,60,1.96578,9.69243,-1
110,600,60,1.96547,9.68964,-1
111,600,60,1.96516,9.68684,-1
112,600,60,1.96485,9.68404,-1
113,600,60,1.96454,9.68125,-1
114,600,60,1.96423,9.67845,-1
115,600,60,1.96392,9.67565,-1
116,600,60,1.96361,9.67286,-1
117,600,60,1.96329,9.67006,-1
118,600,60,1.96298,9.66727,-1
119,600,60,1.96267,9.66447,-1
120,600,60,1.96236,9.66167,-1
121,600,60,1.96205,9.65888,-1
122,600,60,1.96174,9.65608,-1
123,600,60,1.96143,9.65329,-1
124,600,60,1.96112,9.65049,-1
125,600,60,1.96081,9.64769,-1
126,600,60,1.96049,9.6449,-1
127,600,60,1.96018,9.6421,-1
128,600,60,1.95987,9.63931,-1
129,600,60,1.95956,9.63651,-1
130,600,60,1.95925,9.63371,-1
131,600,60,1.95894,9.63092,-1
132,600,60,1.95863,9.62812,-1
133,600,60,1.95832,9.62533,-1
134,600,60,1.95801,9.62253,-1
135,600,60,1.95769,9.61973,-1
136,600,60,1.95738,9.61694,-1
137,600,60,1.95707,9.61414,-1
138,600,60,1.95676,9.61135,-1
139,600,60,1.95645,9.60855,-1
140,600,60,1.95614,9.60575,-1
141,600,60,1.95583,9.60296,-1
142,600,60,1.95552,9.60016,-1
143,600,60,1.95521,9.59736,-1
144,600,60,1.9549,9.59457,-1
145,600,60,1.95458,9.59177,-1
146,600,60,1.95427,9.58898,-1
147,600,60,1.95396,9.58618,-1
148,600,60,1.95365,9.58338,-1
149,600,60,1.95334,9.58059,-1
150,600,60,1.95303,9.57779,-1
151,600,60,1.95272,9.575,-1
152,600,60,1.95241,9.5722,-1
153,600,60,1.9521,9.5694,-1
154,600,60,1.95178,9.56661,-1
155,600,60,1.95147,9.56381,-1
156,600,60,1.95116,9.56102,-1
157,600,60,1.95085,9.55822,-1
158,600,60,1.95054,9.55542,-1
159,600,60,1.95023,9.55263,-1
160,600,60,1.94992,9.54983,-1
161,600,60,1.94961,9.54704,-1
162,600,60,1.9493,9.54424,-1
163,600,60,1.94899,9.54144,-1
164,600,60,1.94867,9.53865,-1
165,600,60,1.94836,9.53585,-1
166,600,60,1.94805,9.53305,-1
167,600,60,1.94774,9.53026,-1
168,600,60,1.94743,9.52746,-1
169,600,60,1.94712,9.52467,-1
170,600,60,1.94681,9.52187,-1
171,600,60,1.9465,9.51907,-1
172,600,60,1.94619,9.51628,-1
173,600,60,1.94587,9.51348,-1
174,600,60,1.94556,9.51069,-1
175,600,60,1.94525,9.50789,-1
176,600,60,1.94494,9.50509,-1
177,600,60,1.94463,9.5023,-1
178,600,60,1.94432,9.4995,-1
179,600,60,1.94401,9.49671,-1
180,600,60,1.9437,9.49391,-1
181,600,60,1.94339,9.49111,-1
182,600,60,1.94307,9.48832,-1
183,600,60,1.94276,9.48552,-1
184,600,60,1.94245,9.48273,-1
185,600,60,1.94214,9.47993,-1
186,600,60,1.94183,9.47713,-1
